source,author,title,url,publishedAt,description
Yahoo Entertainment,Ara Eugenio / AFP Philippines,Fabricated Trump quote on detained Philippine ex-leader misleads online,https://www.yahoo.com/news/articles/fabricated-trump-quote-detained-philippine-082706513.html,2026-01-12T08:27:06Z,"After Donald Trump launched a lightning operation to topple Venezuela's Nicolas Maduro, rumours surfaced online that the US president announced he would next..."
Al Jazeera English,Al Jazeera,ICC judges find former Philippine President Duterte fit to stand trial,https://www.aljazeera.com/news/2026/1/26/icc-judges-find-former-philippine-president-duterte-fit-to-stand-trial,2026-01-26T14:15:12Z,Judges cite report by medical experts saying the 80-year-old is able 'effectively to exercise his procedural rights'.
Internazionale.it,Internazionale,Lawyer files impeachment complaint against Philippine President Marcos,https://www.internazionale.it/ultime-notizie-reuters/2026/01/19/lawyer-files-impeachment-complaint-against-philippine-president-marcos,2026-01-19T04:45:29Z,"MANILA, Jan 19 (Reuters) - A lawyer filed an impeachment complaint against Philippine President Ferdinand Marcos Jr on Monday, accusing him of betraying public trust by a… Leggi"
Internazionale.it,Internazionale,"Former Philippines president Duterte fit for pre-trial hearings, ICC judges rule",https://www.internazionale.it/ultime-notizie-reuters/2026/01/26/former-philippines-president-duterte-fit-for-pre-trial-hearings-icc-judges-rule,2026-01-26T09:14:54Z,"THE HAGUE, Jan 26 (Reuters) - Judges at the International Criminal Court (ICC) have ruled that octogenarian former Philippines president Rodrigo Duterte is fit to attend … Leggi"
International Business Times,Jan Kevin Bautista,Venezuela's Maduro and Philippines' Duterte 'Kidnapping' Compared: Social Media Reacts to Striking Similarities,https://www.ibtimes.com/venezuelas-maduro-philippines-duterte-kidnapping-compared-social-media-reacts-striking-3794302,2026-01-05T12:22:15Z,"As Maduro is taken by US forces, social media compares his 'extraction' to Rodrigo Duterte's 2025 ICC arrest. Are these kidnappings or justice? We explore the viral debate."
CBC News,,Former Philippine president Duterte's defence of ill health rejected by International Criminal Court,https://www.cbc.ca/news/world/philippines-duterte-icc-world-court-9.7061517,2026-01-26T19:52:17Z,"Judges at the International Criminal Court ruled on Monday that former Philippine president Rodrigo Duterte is fit to stand trial, after postponing an earlier hearing over concerns about the octogenarian's health."
Ilfattoquotidiano.it,Riccardo Noury,Il 2026 sarà l’anno della giustizia o del trionfo dell’impunità?,https://www.ilfattoquotidiano.it/2026/01/05/giustizia-internazionale-corte-penale-crimini-notizie/8240664/,2026-01-05T06:45:10Z,"I primi cinque anni di questo decennio hanno ricordato sinistramente quelli degli anni Novanta dello scorso secolo, segnati dai più gravi crimini di diritto internazionale, compresi i due genocidi più veloci della storia: quello del Ruanda nel 1994 e quello d…"
Psychology Today,Mitchell B. Liester M.D.,How Social Media Is Destroying Families,https://www.psychologytoday.com/us/blog/the-leading-edge/202601/how-social-media-is-destroying-families,2026-01-23T22:57:54Z,Why won't your family member speak to you? Social media algorithms may be driving the family estrangement epidemic. Here's what you can do about it.
Diepresse.com,Die Presse,Philippinen: Internationaler Strafgerichtshof gibt grünes Licht für Prozess gegen Ex-Präsident Duterte,https://www.diepresse.com/20518072/philippinen-internationaler-strafgerichtshof-gibt-gruenes-licht-fuer-ex,2026-01-26T11:55:58Z,"Richter des Strafgerichtshofs haben den 80-Jährigen für verhandlungsfähig erklärt. In einem Vorverfahren wird nun geprüft, ob die Beweislage ausreichend ist. Rodrigo Duterte werden mindestens 43 Morde im staatlichen „Krieg gegen die Drogen“ vorgeworfen."
Boston Herald,Associated Press Spanish,Jueces de la CPI declaran al expresidente filipino Rodrigo Duterte apto para ser juzgado,https://www.bostonherald.com/2026/01/26/jueces-de-la-cpi-declaran-al-expresidente-filipino-rodrigo-duterte-apto-para-ser-juzgado/,2026-01-26T10:23:57Z,"Associated Press LA HAYA (AP) — Los jueces de la Corte Penal Internacional dictaminaron el lunes que el expresidente de Filipinas, Rodrigo Duterte, está en condiciones de ser juzgado, después de haber pospuesto una vista anterior debido a preocupaciones sobre…"
