source,author,title,url,publishedAt,description
Kotaku,Lewis Parker,Anti-Extremism Game Accidentally Spawns Far-Right ‘Cute Goth E-Girl’ Meme,https://kotaku.com/anime-goth-egirl-meme-alt-right-visual-novel-2000662271,2026-01-22T17:47:30Z,"A government-backed visual novel fails at its one job
The post Anti-Extremism Game Accidentally Spawns Far-Right ‘Cute Goth E-Girl’ Meme appeared first on Kotaku."
Elespanol.com,Saúl González,'Me duele todo': Asmongold limpia su habitación meses sin hacerlo y encuentra comida podrida,https://vandal.elespanol.com/noticia/1350786333/me-duele-todo-asmongold-limpia-su-habitacion-meses-sin-hacerlo-y-encuentra-comida-podrida/,2026-01-06T17:44:00Z,<!--cache-->El streamer de Kick revela que halló cinco burritos podridos y terminó físicamente agotado tras una intensa sesión de limpieza de tres horas<!--aa--->Asmongold es uno de los creadores de contenido más carismáticos del planeta (conocido sobre todo …
Yahoo Entertainment,udn遊戲角落,Asmongold被亂黑喜歡未成年 Kaise出面闢謠：我25了,https://tw.news.yahoo.com/asmongold%E8%A2%AB%E4%BA%82%E9%BB%91%E5%96%9C%E6%AD%A1%E6%9C%AA%E6%88%90%E5%B9%B4-kaise%E5%87%BA%E9%9D%A2%E9%97%A2%E8%AC%A0%EF%BC%9A%E6%88%9125%E4%BA%86-075102158.html,2026-01-15T07:51:02Z,近期 X（舊稱 Twitter）上一則貼文引發熱議，內容寫道：「如果有一天你覺得自己不值得被愛，請記得連 Asmongold 都能交到女友。」並搭配 Asmongold 與加拿大華裔實況主 Kaise 同框的截圖。不過，該貼文隨後被另一名網友引用，並指控稱：「他當時 33 歲，而她 17 歲，Asmongold 是戀童癖。」相關說法迅速在社群間引發爭議。
Yahoo Entertainment,,實況主「蟑螂王」Asmongold終於整理房間！沒發現死老鼠 但找到五份「遠古食物」,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_32b0dc9f-065d-49d5-b082-b9f0ed78b850,2026-01-06T09:36:47Z,美國知名實況主 Asmongold 以居住環境髒亂、生活習慣差聞名，近日他宣布花了三個小時把房間整理乾淨，且令他意外的是沒發現任何一隻老鼠。
The Times of India,Global Sports Desk,Twitch streamer Zack “Asmongold” shocks viewers as his streaming room unveils a gross surprise after years of mess,https://timesofindia.indiatimes.com/world/us-streamers/twitch-streamer-zack-asmongold-shocks-viewers-as-his-streaming-room-unveils-a-gross-surprise-after-years-of-mess/articleshow/126321022.cms,2026-01-03T11:04:54Z,"Popular Twitch streamer Zack “Asmongold” has once again become the center of attention online. Asmongold’s living conditions have long been discussed by fans and critics. His room is known for being messy and cluttered. In early 2024, even his father publicly…"
The Times of India,Global Sports Desk,Why Zack “Asmongold” comments about white liberal women triggered massive backlash? Internet reacts after streamer’s comments go viral,https://timesofindia.indiatimes.com/world/us-streamers/why-zack-asmongold-comments-about-white-liberal-women-triggered-massive-backlash-internet-reacts-after-streamers-comments-go-viral/articleshow/126353786.cms,2026-01-05T12:43:52Z,"Twitch streamer Asmongold sparked controversy with comments on Just Chatting about White liberal women and their political influence, which he deemed a danger to the country. His remarks, particularly concerning immigration policies, drew widespread mockery a…"
The Times of India,Global Sports Desk,"Twitch streamer Zack “Asmongold” sparks backlash after defending ICE officer in Minneapolis shooting incident, Elon Musk reacts",https://timesofindia.indiatimes.com/world/us-streamers/twitch-streamer-zack-asmongold-sparks-backlash-after-defending-ice-officer-in-minneapolis-shooting-incident-elon-musk-reacts/articleshow/126413490.cms,2026-01-08T11:11:01Z,"Twitch streamer Asmongold sparked controversy by defending an ICE officer's fatal shooting of a driver during an immigration raid. He argued the victim resisted orders and used her car as a weapon, justifying the officer's response. The comments drew criticis…"
The Times of India,Rohitashwa Ranjan,Tamil Nadu assembly election: Can Vijay's TVK convert fan frenzy into votes?,https://timesofindia.indiatimes.com/india/tamil-nadu-assembly-election-can-vijays-tvk-convert-fan-frenzy-into-votestamil-nadu-assembly-election-can-vijays-tvk-convert-fan-frenzy-into-votes/articleshow/127623112.cms,2026-01-27T12:11:49Z,"India News: NEW DELHI: When Prashant Kishor entered Bihar’s electoral arena with Jan Suraaj, he set out to challenge the state’s entrenched caste politics with a ."
The Times of India,Global Sports Desk,Trade rumors surround Elias Pettersson as the Vancouver Canucks face an uncertain direction after a roster shakeup,https://timesofindia.indiatimes.com/sports/nhl/news/trade-rumors-surround-elias-pettersson-as-the-vancouver-canucks-face-an-uncertain-direction-after-a-roster-shakeup/articleshow/126318531.cms,2026-01-03T07:20:31Z,"Speculation in the trade around Elias Pettersson has come back as the Vancouver Canucks are still finding their way through a volatile period of roster change. As the league sources report a new desire in rival teams, the inquiries are increasing regarding th…"
The Times of India,TOI Education,Why US colleges are lowering academic standards to accommodate Gen Z?,https://timesofindia.indiatimes.com/education/news/why-us-colleges-are-lowering-academic-standards-to-accommodate-gen-z/articleshow/126319426.cms,2026-01-03T08:36:23Z,"As Generation Z is criticised for entitlement, US colleges are quietly reshaping academics to meet lowered expectations. From single-book semester courses to remedial math and writing at elite universities, institutions are easing rigor to avoid disengagement…"
