source,author,title,url,publishedAt,description
Gizmodo.com,Raymond Wong,Is This Really the iPhone 18 Pro?,https://gizmodo.com/is-this-really-the-iphone-18-pro-2000711918,2026-01-20T15:50:10Z,The YouTuber/leaker who Apple is suing says it is.
Gizmodo.com,James Pero,Apple Is Reportedly Making Its Own Wearable AI Pin,https://gizmodo.com/apple-is-reportedly-making-its-own-wearable-ai-pin-2000712726,2026-01-21T22:30:48Z,The iPhone maker might be preparing to battle OpenAI's own family of AI gadgets.
The Verge,John.Higgins,This company could help bring Auracast to an iPhone near you,https://www.theverge.com/tech/860010/atitan-bluetooth-auracast-transceiver-ces-2026,2026-01-09T22:56:41Z,"One of the issues holding Auracast back from wider mainstream use is some companies' lack of support for the Bluetooth technology - Apple being a prime example. With iOS having 58 percent of the market share in North America and nearly 28 percent worldwide, a…"
BBC News,,'Young 40s': Gen Z has found a new way to mock millennials for their style in South Korea,https://www.bbc.com/news/articles/c78vw30p1d2o,2026-01-17T23:08:39Z,"Even the iPhone, long considered the preserve of the youth, has been recast as a tacky trademark of Young 40s."
The Verge,Emma Roth,Apple is turning Siri into an AI bot that’s more like ChatGPT,https://www.theverge.com/news/865172/apple-siri-ai-chatbot-chatgpt,2026-01-21T20:27:16Z,"Apple is planning a big Siri overhaul that will transform the voice assistant into an AI chatbot built directly into its iPhone and Mac, according to Bloomberg reporter Mark Gurman. The update is reportedly coming later this year and will replace the existing…"
The Verge,Jess Weatherbed,Is this the folding iPhone’s creaseless display?,https://www.theverge.com/news/856141/samsung-display-creaseless-panel-foldable-iphone-ces,2026-01-06T09:25:15Z,Samsung Display showcased a new foldable OLED panel at CES that doesn't have a visible crease - something that currently blights every foldable phone on the market. This could be our first look at the panel used in the next generation of Samsung's Galaxy fold…
MacRumors,Joe Rossignol,Apple Highlights Key iPhone 17 and 17 Pro Hardware Upgrade in New Ad,https://www.macrumors.com/2026/01/13/iphone-17-slide-ad/,2026-01-13T18:28:07Z,"Apple today shared a new ""Slide"" ad that highlights the Ceramic Shield 2 cover glass on the iPhone 17, iPhone 17 Pro, and iPhone 17 Pro Max.






The ad shows an ongoing negotiation, during which an iPhone 17 Pro with the screen facing down is slid back and…"
Wired,Brad Bourque,The Apple AirPods Pro 3 Are $50 Off,https://www.wired.com/story/apple-airpods-pro-3-deal-126/,2026-01-07T22:16:44Z,Snag a relatively rare discount on Apple's finest earbuds at Best Buy.
MacRumors,Joe Rossignol,How Much RAM Will the iPhone 18 Pro Have? Here's What Rumors Say,https://www.macrumors.com/2026/01/19/iphone-18-pro-ram-amount-rumors/,2026-01-19T18:43:13Z,"While the iPhone 18 Pro and Pro Max are still around eight months away, multiple sources have already commented on how much RAM the devices will have.





In a blog post last year, Apple supply chain analyst Ming-Chi Kuo said that he expected all of the new …"
MacRumors,Juli Clover,Apple Shares 'Detectives' Ad Promoting iPhone 17 Pro Camera,https://www.macrumors.com/2025/12/31/iphone-17-pro-zoom-ad/,2025-12-31T23:57:50Z,"Apple today shared a new ""Shot on iPhone"" ad promoting the 8x optical zoom feature on the iPhone 17 Pro and ‌iPhone 17 Pro‌ Max.






The ad includes a series of quick zooms to show off what the ‌iPhone 17 Pro‌ models can do. Apple's video description highl…"
MacRumors,Tim Hardwick,"iPhone Fold to Pave Way for Thinner, Brighter Display on iPhone Air 2",https://www.macrumors.com/2026/01/09/iphone-fold-iphone-air-2-thinner-display/,2026-01-09T11:37:06Z,"The iPhone Fold will be the first Apple device to adopt a Samsung-made OLED technology called CoE (Color Filter on Encapsulation), which could make the display brighter and thinner than previous panels, reports The Elec.





In a traditional OLED panel, a po…"
MacRumors,Juli Clover,Apple's Next iPhone: What to Expect From the 2026 iPhone 17e,https://www.macrumors.com/guide/iphone-17e/,2026-01-20T22:59:35Z,"We're likely just weeks away from Apple's next iPhone launch, with the company set to introduce the ‌iPhone‌ 17e. The ‌iPhone‌ 17e is a follow-up to the iPhone 16e that came out in February 2025, and rumors suggest that it could have some welcome improvements…"
Slashdot.org,msmash,"No Standard iPhone 18 Launch This Year, Reports Suggest",https://mobile.slashdot.org/story/26/01/01/1816240/no-standard-iphone-18-launch-this-year-reports-suggest,2026-01-02T02:30:00Z,"MacRumors: Apple is not expected to release a standard iPhone 18 model this year, according to a growing number of reports that suggest the company is planning a significant change to its long-standing annual iPhone launch cycle. 

Despite the immense success…"
