source,author,title,url,publishedAt
The Verge,Stevie Bonifield,Nvidia launches Vera Rubin AI computing platform at CES 2026,https://www.theverge.com/tech/855412/nvidia-launches-vera-rubin-ai-computing-platform-at-ces-2026,2026-01-05T22:46:09Z
The Verge,Jess Weatherbed,The HP OmniStudio X’s webcam can watch your work desk,https://www.theverge.com/tech/853937/hp-omnistudio-all-in-one-desktop-2026-announcement,2026-01-05T16:22:29Z
CNET,Tyler Lacoma,Surfshark VPN Now Offers 'Post-Quantum' Protection. Cybersecurity Is Behind the Move,https://www.cnet.com/tech/services-and-software/surfshark-vpn-now-offers-post-quantum-protection-cybersecurity-is-behind-the-move/,2026-01-22T21:16:09Z
Slashdot.org,EditorDavid,Up Next for Arduino After Qualcomm Acquisition: High-Performance Computing,https://news.slashdot.org/story/25/12/28/1855208/up-next-for-arduino-after-qualcomm-acquisition-high-performance-computing,2025-12-28T18:58:00Z
Yahoo Entertainment,,"Quantum Computing Stocks IonQ, Rigetti Computing, D-Wave Quantum, and Quantum Computing Inc. Have Served Up an $840 Million Warning for Wall Street",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0c39f3bb-b3c2-4b69-b37a-1ba8b45d8770,2026-01-14T09:11:00Z
Gizmodo.com,James Pero,Smart Glasses Are Trying to Break Up With Your Phone,https://gizmodo.com/smart-glasses-are-trying-to-break-up-with-your-phone-2000711064,2026-01-16T20:00:36Z
Business Insider,"Lee Chong Ming,Robert Scammell",AMD CEO Lisa Su says AI will need 10 'yottaflops' of compute — here's what that actually means,https://www.businessinsider.com/amd-ceo-lisa-su-ai-10-yottaflops-compute-definition-2026-1,2026-01-06T10:51:20Z
Business Insider,Dan DeFrancesco,Execs at Davos say AI's biggest problem isn't hype — it's security,https://www.businessinsider.com/ai-security-risks-worry-ey-kpmg-execs-cybersecurity-davos-2026-1,2026-01-20T07:53:40Z
Yahoo Entertainment,,The Quantum Computing Stock Insiders Are Quietly Buying,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_8baa9f44-3fad-4010-8917-7dc2095a2307,2026-01-10T10:04:00Z
Yahoo Entertainment,,Prediction: These 4 Quantum Computing Stocks Will Skyrocket in 2026,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_12bce26f-7218-46fb-907f-3b869ad46e73,2026-01-06T19:30:00Z
Gizmodo.com,Tom Hawking,Steve Jobs’ Plan for Atari ‘Astrochart’ Among New Items Up for Auction,https://gizmodo.com/steve-jobs-plan-for-atari-astrochart-among-new-items-up-for-auction-2000706227,2026-01-06T20:55:48Z
Gizmodo.com,Sasha Lekach,Qualcomm Wants You to Know That Its New Car Chip Has Multitasking Baked In,https://gizmodo.com/qualcomm-wants-you-to-know-that-its-new-car-chip-has-multitasking-baked-in-2000706140,2026-01-06T17:30:43Z
Gizmodo.com,Kyle Barr,What Happens When PC Memory Prices Are Too Much to Handle?,https://gizmodo.com/what-happens-when-pc-memory-prices-are-too-much-to-handle-2000710305,2026-01-14T20:15:07Z
Tom's Guide,Darragh Murphy,"'That's not going to last': Jeff Bezos believes AI will force you to rent your PC from the cloud, and the RAM crisis is accelerating it",https://www.tomsguide.com/computing/thats-not-going-to-last-jeff-bezos-believes-ai-will-force-you-to-rent-your-pc-from-the-cloud-and-the-ram-crisis-is-accelerating-it,2026-01-16T12:50:35Z
Guessingheadlights.com,Olivia Richman,It Seems Like Nobody Is Using These Car Features,https://guessingheadlights.com/it-seems-like-nobody-is-using-these-car-features/,2025-12-28T12:30:19Z
Slashdot.org,EditorDavid,Nature-Inspired Computers Are Shockingly Good At Math,https://science.slashdot.org/story/26/01/10/0628251/nature-inspired-computers-are-shockingly-good-at-math,2026-01-11T02:34:00Z
